,1,2,3,4,5,6,7,8,9,10,11,12,13
1,0.11875,0.178125,0.2375,0.1125,0.16875,0.225,0.11875,0.178125,0.2375,0.11875,0.178125,0.2375,0.005
2,0.178125,0.2671875,0.35625,0.16875,0.253125,0.3375,0.178125,0.2671875,0.35625,0.178125,0.2671875,0.35625,0.005
3,0.2375,0.35625,0.475,0.225,0.3375,0.45,0.2375,0.35625,0.475,0.2375,0.35625,0.475,0.005
4,0.0625,0.09375,0.125,0.075,0.1125,0.15,0.09375,0.140625,0.1875,0.06875,0.103125,0.1375,0.005
5,0.09375,0.140625,0.1875,0.1125,0.16875,0.225,0.140625,0.2109375,0.28125,0.103125,0.1546875,0.20625,0.005
6,0.125,0.1875,0.25,0.15,0.225,0.3,0.1875,0.28125,0.375,0.1375,0.20625,0.275,0.005
7,0.0875,0.13125,0.175,0.09375,0.140625,0.1875,0.09375,0.140625,0.1875,0.1,0.15,0.2,0.005
8,0.13125,0.196875,0.2625,0.140625,0.2109375,0.28125,0.140625,0.2109375,0.28125,0.15,0.225,0.3,0.005
9,0.175,0.2625,0.35,0.1875,0.28125,0.375,0.1875,0.28125,0.375,0.2,0.3,0.4,0.005
10,0.0625,0.09375,0.125,0.05625,0.084375,0.1125,0.08125,0.121875,0.1625,0.0875,0.13125,0.175,0.005
11,0.09375,0.140625,0.1875,0.084375,0.1265625,0.16875,0.121875,0.1828125,0.24375,0.13125,0.196875,0.2625,0.005
12,0.125,0.1875,0.25,0.1125,0.16875,0.225,0.1625,0.24375,0.325,0.175,0.2625,0.35,0.005
13,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
